Name,Location,Study Program,Sector,Rating,city,region
Govt Apwa College for Women Lahore,"65 Jail Road, Lahore, Punjab, . 54000",FA ICOM ICS FSCMedical FSCEngineering ICS PhysICS,Public,1,Lahore,Punjab
Government College For Women University Sialkot,Sialkot,FSCMedical  FSCEngineering FA General Science FA Computer Sciene FA ICS Icom,Public,3.75,Sialkot,
KIPS Academy Satiana Road Campus Faisalabad,"575  B, Millat Plaza, Satiana Road, Faisalabad",FA FSCEngineering FSCMedical ICom ICS  ComputerScience,Private,3,Faisalabad,Punjab
Govt Zamindar Post Graduate College Gujrat,Bhimber Road Gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,5,Gujrat,
Govt Sadiq Egerton College Bahawalpur,Govt Sadiq Egerton College Bahawalpur,FA FSCMedical FSCEngineering ICS FA General Science,Public,5,Bahawalpur,Punjab
Govt Post Graduate Islamia College Gujranwala,Govt Post Graduate Islamia College Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,1.25,Gujranwala,Punjab
Govt Post Graduate College For Women Wahdat Colony Lahore,Govt Post Graduate College for Women Wahdat Colony Lahore,FA FSCEngineering FSCMedical ICom FA General Science ICS,Public,1,Lahore,Punjab
Bilquis College of Education for Women PAF Chaklala Rawalpindi,PAF Chaklala Rawalpindi,FA FSC genrel science ,Private,0,Rawalpindi,Punjab
Govt Islamia College Railway Road Lahore,"Railway Road, Lahore",FA FSCMedical FSCEngineering ICS Icom FSC General Science,Public,4,Lahore,Punjab
Sardar Bahadur Khan Womens University Quetta,"Sardar Bahadur Khan Women's University, Bawrery Road Quetta, Balochistan, ",F.A FSCMedical FSCEngineering ICS,Public,0,Quetta,Balochistan
Allama Iqbal Open University  AIOU  Quetta,"Regional Campus, Allama Iqbal Open University Eastern By Pass, Takhtani Road, QUETTA.",Intermediate in Commerce (I.Com Higher Secondary School Certificate (Dars  E  Nizami Group) Higher Secondary School Certificate (General Group) ,Public,0,Quetta,Balochistan
Allama Iqbal Open University  AIOU Sargodha,"House No. 66, Civil Lines, Kachery Road, Sargodha Cantt",ICom,Private,5,Sargodha,
Govt Post Graduate College Asghar Mall Rawalpindi,"Asghar Mall, Rawalpindi",FSCEngineering FSCMedical ICS FA General Science FA I.Com,Public,1,Rawalpindi,Punjab
"Limkokwing University Of Creative Technology (Cyberjaya, Malaysia)","Inovasi 1  1, Jalan Teknokrat 1/1, 63000 Cyberjaya, Selangor, Malaysia",Diploma in Graphic Design Technology Diploma in Product Design,Private,5,Malaysia),
OPF Girls College Islamabad,"F  8/2, Islamabad",FA FA General Science FSCMedical FSCEngineering ICS A Level Icom,Private,5,Islamabad,Islamabad Capital Territory
DJ Sindh Govt Science College Karachi,Dr Ziauddin Ahmed Road  Chowk Saddar Town Karachi ,FSCEngineering FSCMedical ICS ICOM FA,Public,5,Karachi,Sindh
Bahria College Islamabad,Naval Complex E  8 Islamabad,ICS ComputerScience FSC General Science FSCEngineering FSCMedical,Private,0,Islamabad,Islamabad Capital Territory
Govt College for Women Karkhana Bazar Faisalabad,Govt College for Women Karkhana Bazar Faisalabad,FA FSCMedical FSCEngineering ICS Icom FA General Science,Public,1.25,Faisalabad,Punjab
Imperial College of Technology Lahore,6  Allama Iqbal Road Bohar Wala Chowk Lahore.,DAE Mechanical Technology DAE Electrical Technology DAE Civil Technology DAE ElectronICS Technology ,Private,0,Lahore,Punjab
Govt College for Women Madina Town Faisalabad,Govt College for Women Madina Town Faisalabad,FA FSCMedical FSCEngineering ICS ICom FA General Science,Public,0,Faisalabad,Punjab
Roots College International Islamabad,"74 Harley Street, Rawalpindi, ",FSCEngineering FSCMedical ICS FA Icom ACCA,Private,0,Islamabad,Islamabad Capital Territory
Hazrat Ayesha Siddiqa Model Degree College Lahore,Hazrat Ayesha Siddiqa Model Degree College Timber Market Ravi Road Lahore ,FSCEngineering FSCMedical ICS ICOM FAFA Humanities FSC General Science,Public,0,Lahore,Punjab
Superior Group of Colleges Sialkot,"Kashmir Road Pacca Garha, Sialkot",FA ICS ComputerScience Icom FSCEngineering FSCMedical,Private,5,Sialkot,
The Limit Group of Colleges Faisalabad,"People’s Colony No 1, Faisalabad, ",FA FSCEngineering FSCMedical Icom Dcom DAE,Private,4.25,Faisalabad,Punjab
Punjab College of Commerce Multan,"16 A, Gulgasht Colony,Boson Road",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Multan,Punjab
Govt Dyal Singh College Lahore,"25    Nisbet Road, Lahore",FA Arts FSCEngineering FSCMedical Icom ICS,Public,3,Lahore,Punjab
Govt Fatima Jinnah College for Women Lahore,Govt Fatima Jinnah College for Women Chuna Mandi Lahore,FA Art FSCEngineering FSCMedical ICom ICS FA General Science ,Public,0,Lahore,Punjab
Cadet College Kallar Kahar Chakwal,"Cadet College Kallar Kahar, District Chakwal",FSCEngineering ICS ComputerScience FSCMedical,Public,5,Chakwal,
Government Post Graduate College No.1 Abbottabad,Government Post Graduate College No.1 Abbottabad,FA FSCEngineering FSCMedical,Public,1,Abbottabad,Khyber Pakhtunkhwa
Kips Academy Satellite Town Campus Rawalpindi,"784  F, 6th Road, Satellite Town, Rawalpindi",FSCEngineering FSCMedical ICom ICS FA,Private,5,Rawalpindi,Punjab
Government College Women University Sialkot,Sialkot,FA FSCMedical FSCEngineering ICS ComputerScience ICom,Public,3,Sialkot,
Superior Group of Colleges Multan,"Neel Kot Boson Road, Multan",Icom ICS ComputerScience FSCMedical FSCEngineering FA,Private,0,Multan,Punjab
Govt Post Graduate College Satellite Town Gujranwala,Govt Post Graduate College Satellite Town Gugranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,2,Gujranwala,Punjab
Aspire Group of Colleges Lahore,"23  D/1 Gulburg  III, Opposite Nadra Executive Office, Lahore, ",FA General science ICS FSCEngineering FSCMedical ICom FA Humanities,Private,4,Lahore,Punjab
National Institute of Science and Arts Islamabad,"Main Sawan Road, G  10/2.",FSCEngineering FSCMedical A Level FA ICS Icom,Private,0,Islamabad,Islamabad Capital Territory
Govt Post Graduate College for Boys Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA FSCMedical FSCEngineering ICS ICom,Public,0,Rawalpindi,Punjab
Punjab Group of Colleges Sialkot,"New Pearl Building, Maharaja Road, Sialkot",FA ICS ComputerScienceICom FSCEngineering FSCMedical FA General Science,Private,4,Sialkot,
Govt College for Women Baghbanpura Lahore,Govt College For Women Baghbanpura Lahore,FA FSCMedical FSCEngineering ICS ICom,Public,2,Lahore,Punjab
NCR  CET College of Emerging Technologies Karachi,"22  D, Block 6, P.E.C.H.S Shahra  e  Faisal, Opp Jason Trade Center Karachi Lal Kothi Bus Stop",FSCEngineering FSCMedical ICom ICS Computer Scinece,Private,3,Karachi,Sindh
Bahria Town School and College,"Sector  B, Bahria Town Main Blvd, Lahore",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Lahore,
Govt Institute of Leather Technology Gujranwala,"Govt. Institute of Leather Technology G.T Road, Near Nigar chowk Gujranwala",DAE Leather Engineering Technology DAE Fit Wear Engineering Technology,Private,1.25,Gujranwala,Punjab
Punjab Group of Colleges Sargodha,"2  Khayaban  e  Saddiq, Sargodha",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,4,Sargodha,
Govt Ayesha Degree College for Women Timber Market Ravi Road Lahore,Timber Market Ravi Road Lahore,FSCMedical FSCEngineering ICS FA,Public,0,Lahore,Punjab
Fauji Foundation College for Girls Rawalpindi Cantt,"Fauji Foundation College for Girls New Lalazar, Rawalpindi Cantt",FA FSC General Science ICS FSCMedical FSCEngineering,Private,5,Cantt,
Government Post Graduate Jahanzeb College Saidu Sharif Swat,Government Post Graduate Jahanzeb College Saidu Sharif Swat,FA FSCEngineering FSCMedical,Public,5,Swat,
Army Public School And College Islamabad,"Army Public School & College, Pothwar Complex, Alipur Farash, Islamabad",FA FSCEngineering FSCMedical ICS ComputerScience ICom,Private,5,Islamabad,Islamabad Capital Territory
Allama Iqbal Open University AIOU Sukkur,"Buglow No. 16, Muslim Co  operative Housing Society, Military Road, Sukkur.",Intermediate in Commerce (I.Com) Higher Secondary School Certificate (Dars  E  Nazami Group) Higher Secondary School Certificate (General Group) ,Public,0,Sukkur,
Govt Post Graduate College Chakwal,Chakwal,FA FSCMedical FSCEngineering ICS ComputerScience FA General Science,Public,3,Chakwal,
Cadet College Sargodha,"Qudrat Abad Ajnaalah Road, Sargodha",FA Icom FSCMedical FSCEngineering,Private,0,Sargodha,
Garrison Cadet College Kohat,"Garrison Cadet College, Kohat",FA FSCEngineering FSCMedical,Private,3,Kohat,
"Cadet College, Lahore","10  Babar Blcok New Garden Town, Lahore",FSCMedical FSCEngineering ICS,Public,0,Lahore,Punjab
Govt College of Technology Rasul Mandi Bahaudddin,Rasul District Mandi Baha ud Din,DAE in Civil,Public,5,Bahaudddin,
"Standard College of Commerce, Lahore","32  B, New Muslim Town, Wahdat Road, Lahore",FSCMedical FSCEngineering ICS ICom FA Arts,Private,0,Lahore,Punjab
Punjab Group of Colleges Jhelum,G.T Road Jhelum,FA FSCMedical ICS ComputerScience FSCEngineering FA General Science Icom,Private,3,Jhelum,
Pakturk International School And Colleges Lahore,"5  Km from Shaukat Khanum Hospital Khayaban  e  Jinnah Road, Lahore.",FSCEngineering FSCMedical ICS ICOM FA,Private,3,Lahore,Punjab
Elite Group of Colleges Gujranwala,"99  E, Zero Point, Sattelite Town, Gujranwala, ",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,4,Gujranwala,Punjab
College of Tourism and Hotel Management COTHM Johar Town Lahore,"10    B, Iqbal Avenue, Near Shoukat Khanum, Johar Town, Lahore",Intermediate in Culinary Arts (ICA),Private,5,Lahore,Punjab
Govt Post Graduate College Baghdad Road Bahawalpur,Govt Post Graduate College Baghdad Road Bahawalpur,FA FSCMedical FSCEngineering ICS ComputerScience Icom FA General Science FSC General Science,Public,5,Bahawalpur,Punjab
KIPS Academy Sargodha,"73  A, Main Bazar, Satellite Town, Sargodha",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,4.5,Sargodha,
Govt College For Women Township Lahore,Govt College for Women Township Lahore,FA FSCEngineering FSCMedical ICS I.Com,Public,5,Lahore,Punjab
Government Post Graduate College Kohat,Government Post Graduate College Kohat,FA FSCEngineering FSCMedical,Public,2.25,Kohat,
Govt College For Women Jhelum,Govt College For Women Jhelum,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,1.25,Jhelum,
Govt College of Technology Samanabad Faisalabad,Samanabad Faisalabad,DAE Mechanical Technology DAE Instrumentation DAE Food Technology DAE Farm Machinery DAE Electrical Technology DAE Civil Technology ,Public,0,Faisalabad,Punjab
Government Superior Science College Peshawar,"Daura Road, Near Wazir Bagh, Peshawar, ",FA FSCEngineering FSCMedical,Public,5,Peshawar,Khyber Pakhtunkhwa
Govt Municipal Degree College Jaranwala Road Faisalabad,Govt Muncipal Degree College Jaranwala Road Faisalabad,FSCMedical FSCEngineering ICS FA Icom FA General Science,Public,0,Faisalabad,Punjab
Govt Postgraduate College Sheikhupura,Sheikhupura,FSCEngineering FSCMedical ICS ComputerScience FA Icom,Public,3,Sheikhupura,
Govt Polytechnic Institute Women Lytton Road Lahore,"Shadi Lal Building, 2  1 Lytton Road, Lahore",DAE Computer Technology DAE Dress Designing and Dress Making DAE ComputerScience DAE ElectronICS Technology CIT Computer information Technology FA FSCEngineering FSCMedical Icom ICS  ,Public,0,Lahore,Punjab
Govt Islamia College For Women Eidgah Road Faisalabad,Govt Islamia College For Women Eidgah Road Faisalabad,FA Icom FA General science ICS FSCMedical FSCEngineering,Public,0,Faisalabad,Punjab
Govt Post Graduate College For Women Model Town Gujranwala,Govt Post Graduate College For Women Model Town Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
St. Joseph’s College for Women Karachi,"Shahra.e  Iraq, Saddar, Karachi.",FSCMedical FA    Engineering FA General Science ICS ComputerScience Icom,Private,5,Karachi,Sindh
Punjab Group of Colleges Bahawalpur,Punjab Group of Colleges Bahawalpur,FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,5,Bahawalpur,Punjab
Nishat College of Science Multan,"Lodhi Colony Road, Multan",FSCMedical FSCEngineering ICS FA Icom FA General Science,Private,4,Multan,Punjab
Hamza Army Public School and College Rawalpindi,"Hamza Army Public School & College, Shahrah  e  Stadium, Rawalpindi",FSCEngineering FSCMedical ICS ComputerScience FA,Private,5,Rawalpindi,Punjab
Govt Graduate College of Commerce Allama Iqbal Town Lahore,"Hunza Block Allama Iqbal Town, Lahore",D.Com I.Com,Public,5,Lahore,Punjab
Armed Forces Institute of Pathology Rawalpindi,"Near Combined Military Hospital, Rawalpindi ",FSCMedical Laboratory Technology (MLT),Private,0,Rawalpindi,Punjab
Aziz Bhatti Shaheed Army Public School and College Mardan Cantt,"Aziz Bhatti Shaheed Army Public School & College PRC, Mardan Cantt",FA ICS ComputerScience FSCEngineering FSCMedical ICom,Private,0,Cantt,
Govt Jinnah Degree College for Women Lahore,"Shahra  e  Fatima Jinnah, Lahore",FA FSCEngineering FSCMedical ICS ICom,Public,0,Lahore,Punjab
Scholars Group of Colleges Lahore,"Shahrah  e  Awan  e  Tijarat, Shadman Chowk, Lahore",FSCEngineering FSCMedical ICS ComputerSciences FA ICom,Private,1.25,Lahore,Punjab
Govt Post Graduate College Jhelum,Govt Post Graduate College Jhelum,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Jhelum,
"Govt. College Boys Model Town, Lahore","Model Town, lahore",FSCEngineering FSCMedical ICS ComputerScience ICom FA Arts,Public,1,Lahore,Punjab
Punjab Group of Colleges Wah Cantt,"59/17  A, Quaid Avenue, Near Barrier 3 Wah Cantt",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Cantt,
Punjab Group of Colleges Sheikhupura,Lahore Sargodha Road Sheikhupura,FA Icom FSCMedical FSCEngineering ICS ComputerScience,Private,4,Sheikhupura,
Punjab Group of Colleges Bharakoh Islamabad,Punjab college main murree road 17 meel near total petrol pump bharkahu islamabad.,FA ICom ICS FSCEngineering FSCMedical FA General Science,Private,5,Islamabad,Islamabad Capital Territory
Jinnah Islamia Group of Colleges Lahore,"34 A  1, Peco Road, Township, Lahore",FSCMedical FSCEngineering ICS FA Arts Icom,Private,5,Lahore,Punjab
"Dar  e  Arqam School, Lahore","1  C, Faisal Town, Opposite Nespak Parking",FSCEngineering FSCMedical ICS ComputerScience ICom FA Arts,Private,0,Lahore,Punjab
Chenab College Faisalabad,"Chenab College West Canal Road, Faisalabad ",FSCEngineering FSCMedical ICS I.Com FA IT ICom DAE Civil DAE Electrical,Private,0,Faisalabad,Punjab
Khwaja Fareed Government College Rahim Yar Khan,"Khawaja Fareed Govt. P/G College, Abu Dahbi Road, Satellite Town, Rahim Yar Khan.",FSC.   Medical FSC.   Engineering FA,Private,0,Khan,
"Swedish Institute of Engineering & Technology, Gujranwala","G.T Road, Pindi by pass, Opposite Gold Marriage Hall, Gujranwala",ICS ComputerScience FSCEngineering FSCMedical,Private,3,Gujranwala,Punjab
Govt Post Graduate Islamia College Faisalabad,Govt Post Graduate Islamia College Faisalabad,FSCMedical FSCEngineering ICS FA Icom FA General Science,Public,1,Faisalabad,Punjab
Leadership Colleges Network Lahore,"25  Ali Block, New Garden Town, Lahore, ",ICS FA FSCMedical FSC General Science FSCEngineering I.COM,Private,4.5,Lahore,Punjab
Noble Group of Colleges Lahore,2  A Shadman Chock Shadman Lahore ,FSCEngineering FSCMedical ICOM ICS ComputerSciences FA,Private,0,Lahore,Punjab
Steps College,"B  23 Satellite Town, Rawalpindi",FA FSCEngineering FSCMedical ICS ICom,Private,5,Rawalpindi,
Raees ul Ahrar College of Commerce Rawalpindi (RAC),"99  A/, Satellite Town, Rawalpindi",FSCEngineering FSCMedical FA ICS ComputerScience,Private,4,Rawalpindi,
