Name,Location,Study Program,Sector,Rating,city,region
Islamabad Model College for Boys I  8/3 Islamabad,"Islamabad Model College for Boys, I  8/3, islamabad",FSCMedical FSCEngineering ICom ICS FA FA General Science,Private,0,Islamabad,Islamabad Capital Territory
Dr. A.Q Khan School System & College Islamabad,"Dr.A.Q Khan School System & College, Ibraheem Campus, House No.1845  U &W, Street No.18/2, Block B, National Police Foundation, O  9, Islamabad",ICS ComputerScience FSCMedical ICom FSCEngineering FA,Private,0,Islamabad,Islamabad Capital Territory
Govt Nawab Mumtaz Degree College For Women Gujrat,Daulat Nagar Gujrat,FA FSCEngineering FSCMedical FA General Science,Public,0,Gujrat,
Indus Group of Colleges Rawalpindi,"Indus College Of Commerce Rawalpindi: 89  A, Satellite Town, 6th Road, Rawalpindi. Landmarks : 6th Road",Icom ICS ComputerScience FSCMedical FSCEngineering,Private,0,Rawalpindi,Punjab
Govt College For Women Dina Jhelum,Govt College For Women Dina Jhelum,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,1,Jhelum,
Govt College of Commerce Dera Ghazi Khan,Govt College of Commerce Dera Ghazi Khan,Dcom FSCEngineering FA FSCMedical ICS ComputerScience ICom ACCA DBA,Public,0,Khan,
ILM Group of Colleges Multan,Main Market Mumtazabad Multan,FSCMedical FSCEngineering ICS ICom FA FA General Sciences,Private,0,Multan,Punjab
Govt Degree College For Women Phool Nagar Kasur,Govt Degree College For Women Phool Nagar Kasur,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Kasur,
Govt Degree College Sagheer Shaheed Park For Women Gujranwala,Govt Degree College Sagheer Shaheed Park For Women Nowshera Road Gujranwala,FA FSCEngineering FSCMedical ICS FA General Science Icom,Public,0,Gujranwala,Punjab
Govt College Of Technology Gujranwala,Govt College of Technology Gujranwala,DAE Electrical DAE ElectronICS DAE Mechanical DAE Instrumentation DAE MechatronICS,Public,0,Gujranwala,Punjab
Govt College For Women Attock,Govt College For Women Attock,FA FSCMedical FSCEngineering ICS FA General Science,Public,2,Attock,
Govt College For Women Ayub Research Institute Jhang Road Faisalabad,Govt College For Women Ayub Research Institute Jhang Road Faisalabad,FSCMedical FSCEngineering ICS FA General Science FA ICom,Public,0,Faisalabad,Punjab
Superior Group of Colleges Depalpur,Opposite Grid Station Okara Road Depalpur,FA FSCEngineering FSCMedical ICS IComFSC General Science,Private,3,Depalpur,
Punjab Group of Colleges Pasrur,"1  KM Sialkot Road,Opposite Sugar Mill, Pasrur",FA ICS ComputerScience FSCMedical FSCEngineering FA General Science ICom,Private,2,Pasrur,
Govt Jamia Nusrat College for Women Chenab Nagar District Chiniot,Govt Jamia Nusrat College for Women Chenab Nagar District Chiniot,FA FSCEngineering FSCMedical ICS ComputerScience ICom,Public,4,Chiniot,
Afridi Model School & College,Near Pushtakhara Chowk Ring Road Peshawar,FA Icom ICS ComputerScience FSCMedical FSCEngineering,Private,3,College,
Leads Group of Colleges Bahawalpur,College Road Rafi Garden Bahawalpur,FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Bahawalpur,Punjab
Allied Science College,"1 Sialkot Road, Near Session Court, Gujranwala",FA FSCEngineering FSCMedical ICS ICom FA General Science,Private,1.5,College,
Govt College For Women Sumandari Faisalabad,Govt College For Women Sumandari Faisalabad,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Faisalabad,Punjab
Quaid  e  Azam Group of Colleges Sheikhupura,Quaid  e  Azam Group of Colleges Sheikhupura,FA ICS ComputerScience FSCEngineering FSCMedical ICom FSC General Science,Private,0,Sheikhupura,
Govt Boys Degree College Hazro Attock,Hazro Attock,FA FSCEngineering FSCMedical FA General Science ICS,Public,2,Attock,
Petroman Institute Islamabad,"27  E, 2nd Floor, Ali Plaza, Fazale  eHaq Road, Blue Area, Islamabad",Icom FSCEngineering ICS FSCMedical FA,Private,0,Islamabad,Islamabad Capital Territory
Islamabad College for Girls Islamabad,"Islamabad College for Girls, F  6/2, Islamabad",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Islamabad,Islamabad Capital Territory
Govt College For Women Peoples Colony Faisalabad,"Govt College For Women Peoples Colony # 2, Faisalabad",FA FSCMedical FSCEngineering ICS FA General Science ICom,Public,0,Faisalabad,Punjab
Aviation Army Public School And College Rawalpindi,Dhamial Campus Rawalpindi,FA Icom ICS FSCMedical FSCEngineering,Private,0,Rawalpindi,Punjab
Govt Institute of Commerce Tehsil Bhalwal District Sargodha,"Kotmoman Road, Bhalwal",Icom FA DCom,Public,0,Sargodha,
Pakistan Cadet School and College Murree," Cadet School & College Murree Sunny Bank Murree Hills,",FSCMedical FSCEngineering ICS FA Arts,Private,0,Murree,
Govt Post Graduate College For Women Bahawalnagar,Govt Post Graduate College For Women Bahawalnagar,FA FSCEngineering FSCMedical ICS ICom,Public,0,Bahawalnagar,
Bahria Foundation College Rawalpindi Cantt,"Bahria Foundation College, House No.99, Hali Road, Westridge  I, Rawalpindi Cantt",FSCEngineering FSCMedical ICS ICOM FA,Private,0,Cantt,
Govt Boys Degree College Kharian Gujrat,Govt Boys Degree College Kharian Gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Gujrat,
Govt Boys Degree College Abdul Hakim Kabirwala Khanewal,Govt Boys Degree College Abdul Hakim Kabirwala Khanewal,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Khanewal,
Nusrat Jahan Girls College Rabwa Chenab Nagar,Nusrat Jahan Girls College Rabwa Chenab Nagar,FA FSCEngineering FSCMedical ICS FA General Science,Public,0,Nagar,
Punjab Group of Colleges Sharaqpur,"3  Km, main Jaranwala Road, Sharaqpur",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,3.5,Sharaqpur,
Govt Girls Higher Secondary School Shahdara Town Lahore,Govt Girls Higher Secondary School Shahdara Town Lahore,FSCMedical FSCEngineering ICom ICS FA Arts FA General Science,Public,0,Lahore,Punjab
Peshawar Model Degree Colleges Mardan,"Minjawara Stop, Nisata Road, Mardan",FA Icom FSCEngineering FSCMedical ICS ComputerScience,Private,0,Mardan,
Punjab Group of Colleges Muzaffargarh,Alipur Road near Dist. HQ Hospital,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,2.25,Muzaffargarh,
ITM College of Commerce 8  University Road Sargodha,ITM College of Commerce 8  University Road Sargodha,FA FSCMedical FSCEngineering ICS Icom FA IT,Private,5,Sargodha,
Concordia Colleges Multan,"College Chowk, Bosan Road, Multan",FA ICS ComputerScience FSCMedical FSCEngineering ICom  ,Private,0,Multan,Punjab
Govt Boys Degree College Dinga Gujrat,Govt Boys Degree College Dinga Gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom,Public,0,Gujrat,
Karlot Residential College Islamabad,"Karlot Residential College Main Murree Road, Near Chatter Park, Islamabad.",ICS FA FSCMedical FSCEngineering ICom FA General Science,Private,0,Islamabad,Islamabad Capital Territory
Rawat Residential College Islamabad,"Rawat Residential College, Navy Road, Rawat (F.A), Islamabad",FA ICS ICom FSCEngineering FSCMedical,Private,0,Islamabad,Islamabad Capital Territory
Govt College For Women Shorkot Jhang,Hassowali Shorkot City Distt Jhang,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Jhang,
Govt Post Graduate College of Commerce Rawalpindi,Govt Post Graduate College of Commerce Rawalpindi,Dcom ICom,Public,0,Rawalpindi,Punjab
Army Burn Hall College for Girls Abbottabad Cantt,"Army Burn Hall College for Girls, Abbottabad Cantt",FA FSCEngineering FSCMedical ICS ComputerScience,Private,0,Cantt,
Aviation Army Public School and College Rawalpindi Cantt,"Aviation Army Public School & College, Dhamial Camp, Rawalpindi Cantt",FSCMedical ICS FSCEngineering FA ICom,Private,0,Cantt,
Farabi College of Commerce Sheikhupura,15  C COLLEGE ROAD CIVIL LINES SHEIKHUPURA,FA Icom ICS ComputerScience FSCEngineering FSCMedical,Private,0,Sheikhupura,
Civil Group of Colleges Rawalpindi,"F  783, 6th Road, Satellite Town, Rawalpindi",FSCMedical FSCEngineering ICS ComputerScience FA ICOM,Private,0,Rawalpindi,Punjab
Punjab Group of Colleges Liaqatpur,"Khursheed Town, Liaqatpur",FA ICS ComputerScience FSCMedical FSCEngineering FA General Science ICom,Private,0,Liaqatpur,
Punjab Group of Colleges Chawinda,Near main Lari Addan Chawinda,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Chawinda,
Govt College of Commerce Jauharabad Khushab,Jauharabad Khushab,Dcom FA FSCEngineering FSCMedical ICS ComputerScience Icom DBA,Public,0,Khushab,
Govt Degree College For Women Kohat Road Gulshan Rehman Colony Peshawar,Govt Degree College For Women Kohat Road Gulshan Rehman Colony Peshawar,FA FSCMedical FSCEngineering FA General Science FSC ComputerScience,Public,0,Peshawar,Khyber Pakhtunkhwa
Govt Degree College For Women Ghakhar Mandi Gujranwala,Govt Degree College For Women Ghakhar Mandi Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Govt Degree College Boys Phool Nagar Pattoki Kasur,Govt Degree College Boys Phool Nagar Pattoki Kasur,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Kasur,
Govt Post Graduate College Peoples Colony Gujranwala,Govt Post Graduate College Peoples Colony Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Govt Degree College Wadpagga Dalazak Road Peshawar,Govt Degree College Wadpagga Dalazak Road Peshawar,FA FSCEngineering FSCMedical FA General Science ICS ComputerScience,Public,0,Peshawar,Khyber Pakhtunkhwa
Superior Group of Colleges Pattoki,Main GT Road Pattoki,FSCMedical FSCEngineering ICom ICS FA,Private,3,Pattoki,
Punjab College of Commerce Faisalabad Jhang Bypass Chiniot,Punjab College of Commerce Faisalabad Jhang Bypass Chiniot,FA FSCEngineering FSCMedical FA General Science ICom ICS ComputerScience,Public,0,Chiniot,
Sialkot Group of Colleges,Railway Road Sialkot,FA Icom ICS ComputerScience FSCMedical FSCEngineering,Private,0,Colleges,
Leads Group of Colleges Bahawalnagar,Leads Group of Colleges Bahawalnagar,FSCMedical FSCEngineering ICS FA ICom,Private,0,Bahawalnagar,
Govt Institute of Commerce Nowshera Road Gujranwala,Govt Institute of Commerce Nowshera Road Gujranwala,Dcom FA FSCEngineering FSCMedical ICS Icom DBA,Public,0,Gujranwala,Punjab
Govt Boys Degree College Pindigheb Attock,Pindigheb Attock,FA FA General Science FSCMedical FSCEngineering,Public,0,Attock,
Govt Boys Degree College Kamoke Gujranwala,Govt Boys Degree College Kamoke Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Askaria Colleges Girls Wing Rawalpindi Cantt,"Askaria College (Girls Wing), 117 Market Road, Rawalpindi Cantt",FA Icom ICS FSCEngineering FSCMedical,Private,0,Cantt,
Govt College For Women Millat Town Faisalabad,"Govt College For Women Chak No. 117JB., Millat Town Faisalabad",FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Faisalabad,Punjab
Leads Group of Colleges Sialkot,Leads Group of Colleges Sialkot,FA Icom ICS ComputerScience FSCEngineering FSCMedical,Private,0,Sialkot,
Rockland College International Islamabad,"3rd Floor, Green Trust Tower, Jinnah Avenue, Blue Area, Islamabad",FSCEngineering FSCMedical ICS ICOM FA,Private,0,Islamabad,Islamabad Capital Territory
Govt College For Women Gujranwala City,Govt College For Women Gujranwala City,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0.25,City,
Iba Community College Naushahro Feroze,"Old Govt Mono Technical Institute Mithiani Road, Naushahro Feroze",DAE Computer Information Technology DAE Electrical DAE ElectronICS Diploma of Associate Engineering DAE,Private,0,Feroze,
Punjab Group of Colleges Arifwala,"Main Qaboola Road,",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Arifwala,
Govt Boys Degree College Fateh Jang Attock,College More Kohat Road Fateh Jang,FSCEngineering FSCMedical FA General Science FA ICS,Public,0,Attock,
Govt Degree College Sohawa Jhelum,Govt Degree College Sohawa Jhelum,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Jhelum,
Govt Degree College For Women Talagang Chakwal,Chakwal,FA FSCEngineering FSCMedical ICS ComputerScience,Public,0,Chakwal,
Govt Degree College for Women Bhera,Govt Degree College for Women Bhera,FA ICS ComputerScience FSCEngineering FSCMedical ICom,Public,0,Bhera,
Superior Group of Colleges Pasrur,"Defense Town, Daska Road Pasrur",FSCEngineering FSCMedical ICom ICS,Private,4,Pasrur,
InformatICS Group of Colleges,527 J  Block Johar Town Lahore,FSCEngineering FSCMedical FA IT ICS Icom,Private,0,Colleges,
Govt Degree College For Women Fort Abbas Bahawalnagar,Govt Degree College For Women Fort Abbas Bahawalnagar,FA General Science FSCMedical FSCEngineering FA ICS ICom,Public,0,Bahawalnagar,
Govt Degree College For Women Hazro Attock,Govt Degree College For Women Hazro Attock,FA FSCEngineering FSCMedical ICS FSC General Science,Public,0,Attock,
Punjab Group of Colleges Mailsi,Main Multan Road Mailsi,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Mailsi,
Punjab Group of Colleges Haroonabad,"Fateh Khan Town,72/4 Road",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,2.25,Haroonabad,
Oriental Degree College,Arbab Road Chowk University Road Peshawar.,FSCMedical FSCEngineering ICS ComputerScience FA DCom DIT,Private,0,College,
Govt College For Women Khushab,Govt College For Women Khushab,FA FSCMedical FSCEngineering ICS ComputerScience ICom FA General Science,Public,0,Khushab,
Al  Mizan College Islamabad,"AL  MIZAN COLLEGE, AL  MIZAN COMPLEX, GILLANI AVENUE, MOTORWAY CHOWK, JHANGI SYEDAN, ISLAMABAD.",FA Icom FSCEngineering ICS ComputerScience FSCMedical,Private,5,Islamabad,Islamabad Capital Territory
Govt Degree College For Women Taunsa Dera Ghazi Khan,Govt Degree College For Women Taunsa Dera Ghazi Khan,FA FSCMedical FSCEngineering ICS,Public,0,Khan,
Bravo’s Academy and Club Hyderabad,"A  30 Stadium Rd, Hyderabad",FA FSCMedical FSCEngineering ICom ICS ComputerScience,Private,0,Hyderabad,
Govt Degree College For Women Kot Chutta Dera Ghazi Khan,Govt Degree College For Women Kot Chutta Dera Ghazi Khan,FA FSCMedical FSCEngineering FA General Science,Public,0,Khan,
Khanewal Public School And College,Khanewal Public School & College,FSCMedical FSCEngineering ICS ComputerScience,Private,0,College,
Govt College for Women Kot Lakhpat Lahore,Govt College For Women Kot Lakhpat Lahore,FA FSCEngineering FSCMedical ICS ICom,Public,0,Lahore,Punjab
FG Degree College for Women Kohat,FG Degree College for Women Kohat,FA FSCMedical FSCEngineering ICS ICom,Public,0,Kohat,
Govt Degree College for Women Arifwala,Arifwala,FA ICS ComputerScience FSCMedical FSCEngineering ICom  ,Public,0,Arifwala,
Govt Degree College For Women Ali Pur Chattha,Govt Degree College For Women Ali Pur Chatha Gujranwala,FA FSCEngineering FSCMedical ICS ComputerScience FA General Science ICom,Public,0,Chattha,
Govt Degree College For Women Narwala Banglow Narwala Road Faisalabad,"Govt Degree College For Women 61/JB, Narwala Banglow Narwala Road Faisalabad",FSCMedical FSCEngineering FA FA General Science ICS ICom,Public,5,Faisalabad,Punjab
Superior Group of Colleges Narowal,"Chowk Bijli Ghar, Pasroor Road, Narowal",ICS ComputerScience FSCEngineering FSCMedical ICom FA,Private,2,Narowal,
Govt Institute of Commerce Burewala,Chungi No:5 Burewala,ICS ComputerScience FSCEngineering FSCMedical ICom FA,Public,4,Burewala,
Govt College Boys Dera Ghazi Khan,Govt College Block 17 Dera Ghazi Khan,FA FSCMedical FSCEngineering ICS ComputerScience FA General Science,Public,1,Khan,
Govt Boys Degree College Minchinabad Bahawalnagar,Govt Boys Degree College Minchinabad Bahawalnagar,FA FA General Science FSCEngineering FSCMedical ICS ICom,Public,0,Bahawalnagar,
Al Haq Girls College,"ST  5 / 1, Block  1, Gulshan  e  Iqbal, Karachi,   75300",FA ICS ComputerScience FSCEngineering FSCMedical ICom,Private,1.25,College,
ITM College of Commerce 4  University Road Sargodha,ITM College of Commerce 4  University Road Sargodha,FSCMedical FSCEngineering ICS ICom FA FA General Science,Private,0,Sargodha,
Govt Degree College Daharanwala Bahawalnagar,Govt Degree College Daharanwala Bahawalnagar,FA FSCEngineering FSCMedical ICS FA General Science ICom,Public,0,Bahawalnagar,
Govt Degree College Phularwan Sargodha,Govt Degree College Phularwan Sargodha,FA ICS ComputerScience FSCEngineering FSCMedical FA General Science,Public,0,Sargodha,
Punjab College of Commerce and Sciences Rahim Yar khan,RAHIM YAR KHAN,FSCEngineering FSCMedical FA General Science FA ICS,Private,0,khan,
Jinnah Muslim College of Commerce Islamabad,Aabpara Market Islamabad,FA FSCMedical FSCEngineering ICS Icom FA General Science,Private,0,Islamabad,Islamabad Capital Territory
PBF International College Islamabad,"PBF International College PBC, (Campus) H  9, Islamabad",ICS FSCMedical FSCEngineering ICom FA A Level,Private,0,Islamabad,Islamabad Capital Territory
Govt Abdul Haq Islamia Degree College Jalalpur Jattan Gujrat,Jalalpur Jattan Gujrat,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujrat,
NPSC Rawat Islamabad,GT Road Rawat Islamabad,ICS Icom FA FSCMedical FSCEngineering,Private,0,Islamabad,Islamabad Capital Territory
Govt College of Commerce Bhakkar,Govt College of Commerce Bhakkar,ICS I.Com D.Com,Public,0,Bhakkar,
Superior Group of Colleges Pak Pattan,"Near Saadat House, Sahiwal Road, Pak Pattan",FA FSCEngineering FSCMedical ICom ICS  ComputerScience,Private,0,Pattan,
Bravo College of Technology,Near Itfak kiddney Center Peshawar,FSCEngineering FSCMedical ICS ComputerScience DCom,Private,4,Technology,
Global System Of Integrated Studies School And College,Pitras Bukhari Road H  8/1 Islamabad.,FSCEngineering FSCMedical ICS FA General ScienceICom FA A Level,Private,0,College,
Govt Boys Degree College Rahwali Gujranwala,Govt Boys Degree College Rahwali Gujranwala,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,5,Gujranwala,Punjab
Govt Degree College for Women Lalian District Chiniot,Lalian District Chiniot,FA FSCEngineering FSCMedical ICS ComputerScience ICom,Public,0,Chiniot,
Govt College For Women Dera Ghazi Khan,Govt College For Women Dera Ghazi Khan,FA FSCMedical FSCEngineering ICS FA General Science ICom,Public,0,Khan,
Govt College for Women Tandlianwala District Faisalabad,Govt College for Women Tandlianwala Distt Faisalabad,FA FSCMedical FSCEngineering ICS FA General Science ICom,Public,4.5,Faisalabad,Punjab
Govt Post Graduate College For Women Kasur,Govt Post Graduate College For Women Kasur,FA FSCEngineering FSCMedical ICS,Public,0,Kasur,
Govt Degree College Sehnsa AJK,"Sehnsa, District Kotli, Azad Jammu & Kashmir",FA ICS ComputerScience ICom FSCMedical FSCEngineering,Private,0,AJK,
Govt Degree College Boys Sarai Alamgir Gujrat,Govt Degree College Boys Sarai Alamgir Gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,5,Gujrat,
Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,FA FSCEngineering FSCMedical ICS ComputerScience FA General Science,Public,0,Chakwal,
Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,FAFSC   Enginerring FSCMedical ICS ComputerScience FA General Science,Public,5,Bahawalpur,Punjab
Anam Public School and Girls College Rawalpindi Cantt,"Anam Public School and Girls College, Street No.1, Rawal Town, Near Dhoke Syedan Road, Rawalpindi Cantt",FA FSCEngineering FSCMedical ICS ICom,Private,0,Cantt,
Govt Degree College For Women Kabirwala Khanewal,Govt Degree College For Women Kabirwala Khanewal,FA FSCEngineering FSCMedical FA General Science,Public,0,Khanewal,
Govt College For Women College Road Gujranwala,Govt College For Women College Road Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Capital College Islamabad,"Darbar Chowk, Service Road West G  11, Near Kashmir Highway Islamabad.",FSCEngineering FSCMedical ICS ComputerScience ICom FA,Private,0,Islamabad,Islamabad Capital Territory
Govt Institute of Commerce Chiniot,Govt Institute of Commerce Chiniot,Dcom FA ICom,Public,2,Chiniot,
Govt Degree College For Women Bhagowal Kalan Gujrat,Govt Degree College For Women Bhagowal Kalan Gujrat,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujrat,
Govt College For Women Jahanian Khanewal,Govt College For Women Jahanian Khanewal,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Khanewal,
Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,FSCMedical FSCEngineering ICS FA FA General Science,Public,0,Khan,
Balochistan Institute Of Information Technology Quetta,Near Commissioner Zhob Division Office Quetta Road Loralai ,ICS Icom FSCEngineering FSCMedical,Private,0,Quetta,Balochistan
Govt Boys Degree College Dina Jhelum,Govt Boys Degree College Dina Jhelum,FA FSCEngineering FSCMedical ICS FA General Science,Public,0,Jhelum,
Govt Degree College Women Raiwind Lahore,Govt Degree College Women Raiwind Lahore,ICS Icom FA FSCMedical FSCEngineering,Public,0,Lahore,Punjab
Govt Boys Degree College Quaidabad Khushab,Govt Boys Degree College Quaidabad Khushab,FA FSCEngineering FSCMedical ICom ICS ComputerScience FA General Science,Public,0,Khushab,
Punjab Group of Colleges Kallar Saydan,"Ittiffaq Town Naseer  ud  din Road, Plot # 50, Mureed Chowk, Kallar Saydan",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Saydan,
Mahmoodi Institute of Management Sciences (MIMS) Karachi,"Mariners Fairway 43 Timber Pound, Keameri, Karachi",ACCA,Public,0,Karachi,Sindh
Govt Degree College For Women Naushera Khushab,Govt Degree College For Women Naushera Khushab,FA FSCEngineering FSCMedical FA General Science IComI CS ComputerScience,Public,0,Khushab,
Govt Degree College for Women Kot Khawaja Saeed Lahore,Kot Khawaja Saeed Lahore,FA FSCEngineering FSCMedical ICS General Science,Public,0,Lahore,Punjab
Govt College For Women Nowshera Virkan Gujranwala,Govt College For Women Nowshera Virkan Gujranwala,FA FSCEngineering FSCMedical ICS FA General Science,Public,0,Gujranwala,Punjab
Leads Group of Colleges Mianwali,Leads Group of Colleges,ICS ComputerScience FSCMedical FSCEngineering ICom FA,Private,0,Mianwali,
Govt College For Women Chak Jhumra Faisalabad,Govt College For Women Chak Jhumra Faisalabad,FA ICS FSCMedical FSCEngineering FA General Science ICom,Public,0,Faisalabad,Punjab
Base College Of Science & Commerce Rawalpindi,"Near Barrier No.03, Wah Cantt, Rawalpindi",FSCEngineering FSCMedical ICS ICom,Private,0,Rawalpindi,Punjab
Govt College of Commerce Khanewal,Khanewal,Dcom FA FSCEngineering FSCMedical ICS ComputerScience Icom DBA,Public,0,Khanewal,
"Govt. College of Commerce, Multan Cantt","Azmat Wasti Road, Multan Cantt",Icom Dcom,Public,0,Cantt,
Govt Degree College Chitral,Govt Degree College Chitral ,FA FSC Per Engineering FSC Per Medical ICS Icom,Public,0,Chitral,
Govt Boys College Jahanian Khanewal,Govt Boys College Jahanian Khanewal,FA FSCEngineering FSCMedical FA General Science ICom ICS ComputerScience,Public,0,Khanewal,
Aim Higher Institute Rawalpindi,"KASB Bank Building, Chandni Chowk, Rawalpindi",Icom ICS ComputerScience FA FSCMedical FSCEngineering,Private,0,Rawalpindi,Punjab
F.G Girls Inter College Mardan,PRC Mardan Cantt,FA Icom FSCEngineering FSCMedical ICS ComputerScience,Private,0,Mardan,
Govt Degree College Sahiwal Sargodha,Govt Degree College Sahiwal Sargodha,FA FSCMedical FSCEngineering ICS ComputerScience FA General Science,Public,0,Sargodha,
Govt College Boys Choti Zareen Dera Ghazi Khan,Govt College Boys Choti Zareen Dera Ghazi Khan,FA FSCMedical FSCEngineering ICS ComputerScience FA General Science,Public,1.25,Khan,
Al  Farabi Islamic School And College Islamabad,"Al  Farabi Islamic School & College, Near Tumair Stop, Lehtrar Road, Nilore (F.A), Islamabad",FA FSCEngineering ICS ComputerScience FSCMedical ICom,Private,5,Islamabad,Islamabad Capital Territory
Punjab College Abbottabad,"Punjab College CB  28, Gulistan Colony, College Road, Abbottabad",FA FSCEngineering FSCMedical ICS ComputerScience Icom FA ,Private,0,Abbottabad,Khyber Pakhtunkhwa
Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,FA FSCEngineering FSCMedical ICS ComputerScience FA General Science,Public,0,Khanewal,
Lamar Degree College,1  New Arbab Colony Abdara Road Peshawar,ICS ComputerScience FA FSCMedical FSCEngineering,Private,0,College,
Govt Degree Boys College Mandi Shah Jewana Jhang,Govt Degree Boys College Mandi Shah Jewana Jhang,FA FSCEngineering FSCMedicalFA General Science,Public,0,Jhang,
Govt College for Women Mulhal Mughlan Distt Chakwal,Chakwal,FA FSCEngineering FSCMedicalFA General Science,Public,0,Chakwal,
Pakturk International School And Colleges,"ST  21/1, Block  6, Gulshan  e  Iqbal Karachi.",FSCMedical FSCEngineering ICom ICS ComputerScience A  Level,Private,0,Colleges,
Govt Boys Degree College Ghakhar Mandi Gujranwala,Govt Boys Degree College Ghakhar Mandi Gujranwala,FA FSCEngineering FSCMedical ICS Icom IT FA General Science,Public,0,Gujranwala,Punjab
Faran Education Complex VU Campus Kohat,Faran Educational Complex Near FEF College Kohat,FSCMedical FSCEngineering FSC ComputerScience,Private,0,Kohat,
Govt Degree College For Women Mamunkanjan Faisalabad,Govt Degree College For Women Mamunkanjan Faisalabad,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Faisalabad,Punjab
Govt College Khurrianwala Faisalabad,"Govt College 266/RB, Khurrianwala Faisalabad",FSCMedical FSCEngineering ICS FA Icom FA General Science,Public,2,Faisalabad,Punjab
Govt Boys Degree College Darya Khan Bhakkar,Govt Boys Degree College Darya Khan Bhakkar,FA FSCMedical FSCEngineering ICS ComputerScience FA General Science,Public,0,Bhakkar,
Govt Boys Degree College Kotla Arab Ali Khan Gujrat,Govt Boys Degree College Kotla Arab Ali Khan Gujrat,FA FSCEngineering FSCMedical ICom,Public,0,Gujrat,
Punjab Group of Colleges Sukkur,"65/A Friends Co  operative Housing Society Shikarpur Road,Sukkur",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Sukkur,
Special Children School Bahria College Islamabad,"Special Children School Bahria College Islamabad, Shangrilla Road, Naval Complex, E  8, Islamabad	",FSCEngineering FSCMedical ICS ComputerScience FA General Science,Private,0,Islamabad,Islamabad Capital Territory
Govt Degree College For Women Minchinabad Bahawalnagar,Govt Degree College For Women Minchinabad Bahawalnagar,FA FSCEngineering FSCMedical FSC General Science ICS,Public,0,Bahawalnagar,
Govt Degree College for Women Palandri AJK,"Palandri, District Poonch, Azad Jammu & Kashmir",FA ICS ComputerScience ICom FSCMedical FSCEngineering,Public,0,AJK,
Govt College for Women Choa Saiden Shah Distt Chakwal,CHOA SAIDAN SHAH,FSCEngineering FSCMedical ICS ComputerScience,Public,0,Chakwal,
Govt Boys Degree College Pindi Bhattian Hafizabad,Govt Boys Degree College Pindi Bhattian Hafizabad,FA FSCEngineering FSCMedical ICS FA General Science Icom,Public,0,Hafizabad,
Govt Boys Degree College Khairpur Tamewali Bahawalpur,Govt Boys Degree College Khairpur Tamewali Bahawalpur,FA FSCEngineering FSCMedical ICS ComputerScience,Public,0,Bahawalpur,Punjab
